idx	true_id	pred_id	true_label	pred_label	text
1423	46	145	meal_suggestion	restaurant_suggestion	i need to know what's good for chinese around here
1424	42	12	oos	report_lost_card	give me my wallet location
1428	12	59	report_lost_card	international_visa	my capital one visa was taken without permission
1432	42	25	oos	make_call	create a contact labeled mom
1434	42	120	oos	plug_type	i need you to check the resistance of a coil wrapped 6 times with an id of 25mm
1438	42	43	oos	shopping_list	what stores are in the local mall
1445	42	119	oos	change_speed	put into words what you want
1448	120	42	plug_type	oos	does z used the same plus as we do in the united states
1450	55	75	change_ai_name	what_is_your_name	what do you think about me calling you cora
1454	42	71	oos	spending_history	how much does it cost to spay a puppy
1456	42	73	oos	spelling	review my resume for spelling errors
1463	48	56	todo_list	bill_due	can you see if paying garbage bill is on my todo list for this week
1477	42	29	oos	change_language	who teaches english near me
1486	42	48	oos	todo_list	make a list of goals i need to meet in order to write a book
1492	42	25	oos	make_call	how many voicemails are currently in my inbox
1496	42	1	oos	nutrition_info	inform me of what microbes are
1512	42	20	oos	freeze_account	cancel my subscription to scientific american
1529	42	17	oos	jump_start	please alert me when my iphone battery falls below 30%
1530	78	72	distance	directions	do i have a ways to go or am i close to getting to penn station
1536	42	23	oos	restaurant_reservation	can you book me a tee time at cantigny at 2 pm on saturday
1541	62	41	carry_on	credit_limit	can i bring perfume on the plane or what is the size limit
1547	42	130	oos	sync_device	how do i make my android phone more secure
1555	42	149	oos	travel_suggestion	what activities can i to do outside today
1561	42	148	oos	pto_used	what are my hours this week at work
1564	42	25	oos	make_call	accept incoming phone call
1567	42	72	oos	directions	can you check to see which parking garages are open downtown
1574	42	93	oos	income	how do i make money
1575	42	71	oos	spending_history	what is appropriate to spend on a bouquet of flowers for mother's day
1604	134	104	ingredient_substitution	recipe	will this recipe still be good if i use milk instead of eggs
1606	42	1	oos	nutrition_info	i have a rash, what can i use for it
1609	42	89	oos	pin_change	can you fill in my credit card number on the screen
1610	42	120	oos	plug_type	what is the top 10 best modems
1611	42	133	oos	transfer	i need to find work, help me connect to a local business through linkedin
1630	147	10	cancel	smart_home	can you turn off the process
1634	42	27	oos	bill_balance	what's the cost of bottled water
1635	133	35	transfer	balance	how much money can i transfer today
1636	42	130	oos	sync_device	delete the contact uncle john from my phone
1641	42	137	oos	international_fees	what is the fee for a cash advance
1642	42	1	oos	nutrition_info	how much are the clorox detergents
1647	70	43	report_fraud	shopping_list	i don't remember buying this
1673	8	110	gas_type	gas	what raiting of gas is called for
1674	42	10	oos	smart_home	wash windshield
1678	70	68	report_fraud	transactions	i think this transaction is bogus
1679	42	112	oos	ingredients_list	instruct a list of all the brands of cereal manufactured by kelloggs
1682	134	3	ingredient_substitution	oil_change_how	is it ok to use oil spray instead of canola oil
1693	42	94	oos	taxes	how long does it take the irs to issue a tax refund
1698	42	130	oos	sync_device	can you check on what it would cost me to upgrade my iphone with t-mobile
1704	42	26	oos	text	email my boss, tell him i wont be in today
1712	42	10	oos	smart_home	what's that smell
1718	42	10	oos	smart_home	power up my generator
1745	48	65	todo_list	todo_list_update	"did i add ""cleaning the foyer"" to my todo list yet"
1755	42	25	oos	make_call	create emergency phone numbers list
1760	77	42	where_are_you_from	oos	a hidden government facility
1768	42	76	oos	reminder	how much memory do i have left on this phone
1778	42	21	oos	what_song	display the song lyrics for me
1782	42	131	oos	schedule_maintenance	what's a good way to organize my tools in my garage
1783	42	147	oos	cancel	what do you do if you can't stop vomiting
1784	42	70	oos	report_fraud	i would like to know how long a charge is suppose to last on my phone
1788	97	101	pto_request	pto_request_status	how do i get help with a vacation itinerary
1800	42	38	oos	exchange_rate	look up the conversion rate for the euro to dollar exchange
1805	138	38	calculator	exchange_rate	i spent 34 dollars for 12 gallons of paint what is the average price for each gallon
1815	70	137	report_fraud	international_fees	this charge is bs
1827	42	72	oos	directions	how would you rate the airport i am traveling to
1840	61	42	translate	oos	what's the word for trees in norway
1843	42	126	oos	pto_balance	how much time is left on my laundry
1854	42	5	oos	weather	look up the average temperature changes over the last 30 years for my area
1855	42	25	oos	make_call	deny incoming phone call
1864	90	91	replacement_card_duration	new_card	how can i request a new credit card
1865	94	27	taxes	bill_balance	how much do i owe the irs
1892	8	110	gas_type	gas	what gas goes in the vehicle
1908	28	109	improve_credit_score	credit_limit_change	can i hurt my credit rating if i open several credit cards in a short time frame
1912	42	39	oos	uber	call an uber to take me to the closest grocery store
1916	42	143	oos	min_payment	how much of a refund will i get this year
1925	126	97	pto_balance	pto_request	can you see if i have any vacation days available for a request
1928	42	133	oos	transfer	please take all my money out of my checking account and close the account
1943	42	120	oos	plug_type	i need a laptop with 16gb of ram
1947	90	91	replacement_card_duration	new_card	time to order and receive a new credit card
1949	42	149	oos	travel_suggestion	what bands are touring in my city this week
1954	42	72	oos	directions	what's a good way of backing out of a parking spot
1964	2	20	account_blocked	freeze_account	can you help me unblock my account
1971	42	96	oos	who_made_you	which company has gone up the most today
1976	43	125	shopping_list	shopping_list_update	does my shopping list have pop tarts
1977	42	22	oos	meaning_of_life	do we actually have a soul
1982	46	61	meal_suggestion	translate	what kind of indian would you recommend
1983	42	149	oos	travel_suggestion	make a list of all community gardens near me
